서울특별시(자치구),  건수  ,  부과액  
 종로구 ,892,75000260
 중구 ,2154,185440000
 용산구 ,1438,138260000
 성동구 ,2264,195190000
 광진구 ,1594,133660000
 동대문구 ,5432,448580000
 중랑구 ,1573,132493000
 성북구 ,1336,114600000
 강북구 ,1745,148504000
 도봉구 ,1948,169470000
 노원구 ,2521,201200000
 은평구 ,1220,108620000
 서대문구 ,1245,124500000
 마포구 ,3096,269650000
 양천구 ,1977,171680000
 강서구 ,5443,447509000
 구로구 ,2355,209330000
 금천구 ,2208,208510000
 영등포구 ,4902,451500000
 동작구 ,1982,161890000
 관악구 ,1776,152020000
 서초구 ,3257,269840000
 강남구 ,6135,546904200
 송파구 ,4656,409090000
 강동구 ,2307,184200000
