주차장,복지시설,자치구,건수,부과액  
7111,13,종로구,892,75000260
4233,11,중구,2154,185440000
7441,12,용산구,1438,138260000
6659,15,성동구,2264,195190000
19566,15,광진구,1594,133660000
10293,9,동대문구,5432,448580000
12438,14,중랑구,1573,132493000
13084,10,성북구,1336,114600000
11107,30,강북구,1745,148504000
9736,24,도봉구,1948,169470000
6780,58,노원구,2521,201200000
18901,39,은평구,1220,108620000
11461,19,서대문구,1245,124500000
13158,24,마포구,3096,269650000
11677,24,양천구,1977,171680000
18858,59,강서구,5443,447509000
10643,25,구로구,2355,209330000
9152,23,금천구,2208,208510000
10907,22,영등포구,4902,451500000
8501,21,동작구,1982,161890000
20871,25,관악구,1776,152020000
12388,30,서초구,3257,269840000
19861,56,강남구,6135,546904200
22671,50,송파구,4656,409090000
19684,51,강동구,2307,184200000
